,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat109,cat110,cat111,cat112,cat113,cat114,cat115,cat116,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14,loss
3599,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,I,A,A,B,F,G,G,G,D,BI,EG,A,AN,H,C,J,GS,0.324129,0.620805,0.692825,0.284048,0.317541,0.394921,0.691266,0.4293,0.43111,0.43919,0.569745,0.55738,0.282249,0.283087,8402.05
3774,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,D,B,B,B,D,A,B,C,B,B,B,A,A,A,B,H,C,D,D,E,C,A,P,F,A,E,A,E,F,G,G,D,BI,CL,G,AS,AN,A,J,GI,0.351358,0.827585,0.777587,0.18295,0.281143,0.421908,0.715755,0.34987,0.40657,0.40666,0.468839,0.458493,0.287682,0.724331,5656.22
4169,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,A,D,D,A,B,C,B,D,B,A,A,A,A,A,C,D,C,E,C,D,T,A,A,A,A,G,F,F,J,K,BI,CO,A,N,Y,E,N,HK,0.589332,0.785784,0.792378,0.809278,0.551723,0.762581,0.614204,0.56011,0.5126,0.80218,0.771508,0.758883,0.746494,0.602472,1835.52
4170,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,E,D,T,J,D,A,A,D,E,J,K,K,BI,DK,A,AN,AF,A,N,CR,0.264089,0.785784,0.792378,0.208655,0.288217,0.340053,0.361943,0.3026,0.33611,0.45017,0.324486,0.318249,0.576071,0.273867,1223.15
4765,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,D,B,D,A,A,A,A,D,B,C,E,E,C,T,G,C,A,A,F,E,J,I,G,BI,EB,A,A,AS,A,O,GS,0.451274,0.245921,0.174588,0.309621,0.281143,0.304628,0.250305,0.32317,0.4916,0.32935,0.275431,0.270746,0.566274,0.400368,989.45
5141,A,B,A,A,A,A,A,A,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,D,B,B,B,D,B,B,C,B,B,C,A,A,A,A,A,C,D,D,E,C,A,P,L,O,A,A,D,E,H,G,B,BI,AC,A,AN,BN,A,L,EA,0.418506,0.358319,0.909173,0.354893,0.577339,0.359575,0.430041,0.38318,0.38448,0.29595,0.341813,0.335036,0.330336,0.285489,5935.28
5630,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,E,D,T,A,A,A,A,E,E,I,K,K,BI,EG,A,E,AE,C,O,DJ,0.32033,0.681761,0.527991,0.373816,0.422268,0.408772,0.374687,0.32843,0.32128,0.44467,0.327915,0.32157,0.605077,0.802055,406.06
6009,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,I,A,A,C,F,G,F,F,D,BI,BT,A,AH,A,A,J,HB,0.477231,0.620805,0.762059,0.208655,0.281143,0.476555,0.690106,0.26847,0.41471,0.47779,0.672085,0.658814,0.30435,0.231073,4825.23
6272,B,B,A,A,B,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,J,G,A,B,F,F,G,J,E,BI,AR,A,AN,AN,A,O,GS,0.348719,0.199504,0.61366,0.189137,0.281143,0.564672,0.726866,0.2828,0.31945,0.43919,0.531161,0.519456,0.592264,0.276727,1779.29
6718,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,B,B,D,C,B,B,B,A,A,A,A,A,C,B,C,E,E,A,D,N,A,A,A,C,E,K,G,A,K,EB,E,E,AE,A,L,CI,0.289618,0.422197,0.506105,0.354893,0.302678,0.187505,0.322751,0.29758,0.32128,0.2123,0.180456,0.178698,0.26115,0.822898,3303.54
6721,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,C,B,D,E,C,A,P,K,A,A,A,E,E,G,E,B,AB,T,A,S,Q,J,J,DJ,0.504762,0.299102,0.397983,0.738221,0.413817,0.357142,0.32719,0.51256,0.41675,0.39068,0.275431,0.270746,0.256038,0.679285,1269.91
6799,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,G,H,D,D,C,E,C,D,T,N,A,A,A,G,F,G,J,K,BI,EB,C,AR,Y,A,M,HK,0.425579,0.620805,0.673861,0.809278,0.517162,0.608558,0.493861,0.92002,0.4832,0.67065,0.695685,0.682413,0.633362,0.424965,569.8
7326,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,D,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,L,C,A,A,G,H,H,G,D,BI,W,A,E,AG,A,L,HK,0.436958,0.422197,0.745801,0.208655,0.281143,0.393798,0.625021,0.27797,0.5042,0.31003,0.742852,0.729856,0.333292,0.812418,2315.99
7387,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,B,H,D,D,D,E,C,A,P,F,A,A,A,E,E,G,F,B,BI,EG,A,AS,BG,E,K,DJ,0.487367,0.620805,0.634224,0.222469,0.508483,0.448787,0.385151,0.31796,0.5063,0.37493,0.338312,0.359249,0.330336,0.713267,961.45
7537,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,A,B,D,B,A,A,A,G,H,D,C,C,E,C,D,T,H,A,A,B,H,F,F,K,K,BI,CS,A,AF,AD,A,P,IG,0.51056,0.299102,0.440642,0.730249,0.281143,0.777569,0.60787,0.87437,0.521,0.60932,0.727671,0.714544,0.768525,0.211042,2965.97
7758,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,A,A,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,D,B,B,D,D,B,A,C,B,D,B,D,A,A,A,A,D,B,C,B,G,C,T,O,A,A,C,L,E,E,I,G,BI,DW,A,C,S,L,Q,GA,0.894333,0.299102,0.201309,0.722125,0.594196,0.932613,0.591045,0.6984,0.91644,0.8351,0.81013,0.798279,0.888944,0.774567,4164.22
8453,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,C,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,E,D,T,H,A,A,D,G,E,H,J,K,BI,CS,A,AS,L,A,O,HJ,0.470002,0.681761,0.230975,0.652072,0.372405,0.498883,0.468609,0.93736,0.5105,0.43373,0.396226,0.387819,0.633362,0.730459,3965.52
8472,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,A,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,J,A,A,A,H,E,G,K,K,BI,EB,A,AV,Y,E,Q,GE,0.536592,0.488789,0.215772,0.50382,0.551723,0.745129,0.576296,0.56011,0.53565,0.56081,0.480509,0.481306,0.789182,0.290736,839.36
9339,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,D,B,D,B,B,D,B,D,B,D,A,A,A,A,D,B,C,E,A,C,T,G,A,A,C,H,E,H,I,G,BI,EB,A,AV,Y,A,O,IG,0.716981,0.245921,0.174588,0.604408,0.473767,0.583647,0.347261,0.26847,0.66013,0.81591,0.453334,0.481306,0.786955,0.311616,5203.21
9772,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,A,B,D,B,A,A,A,G,H,D,D,C,E,A,D,T,J,A,A,A,G,F,F,I,K,BI,CS,C,AV,L,E,N,HQ,0.694098,0.737068,0.745801,0.782772,0.388783,0.767863,0.590663,0.92996,0.64103,0.78396,0.74582,0.753252,0.712318,0.290723,594.67
10085,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,D,B,C,B,C,B,A,A,A,B,H,D,B,E,E,G,E,R,F,A,A,A,H,E,G,H,F,BI,AI,G,K,Y,A,M,HX,0.64143,0.15999,0.215772,0.584712,0.627218,0.554818,0.396311,0.566,0.67504,0.64056,0.453334,0.443374,0.58904,0.360981,380.75
10172,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,B,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,A,C,T,I,A,A,B,I,F,F,G,G,BI,EB,A,AI,Y,A,O,KW,0.914335,0.737068,0.397983,0.614134,0.635304,0.84379,0.580868,0.80058,0.93884,0.80218,0.776962,0.764426,0.820538,0.339983,597.2
10541,A,B,A,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,E,A,P,L,I,A,A,D,E,J,G,B,BI,EG,A,J,AE,A,K,CK,0.312802,0.681761,0.711159,0.412789,0.302678,0.220686,0.268988,0.27797,0.38249,0.31003,0.24541,0.241676,0.298734,0.376652,1295.04
10551,A,B,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,B,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,O,C,A,C,G,H,H,F,B,BI,BT,A,N,AX,A,K,HK,0.497513,0.827585,0.692825,0.432728,0.508483,0.350956,0.376887,0.58354,0.44352,0.39599,0.711942,0.698722,0.342239,0.603403,673.61
11914,A,B,A,A,A,A,A,A,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,B,D,B,B,C,B,B,B,A,A,A,G,H,D,D,D,E,C,A,P,G,Q,A,A,G,G,G,F,B,BI,BT,A,E,AX,A,K,HK,0.550978,0.555782,0.61366,0.432728,0.517162,0.463665,0.558247,0.3128,0.4832,0.45017,0.661688,0.648446,0.351299,0.811095,7705.95
12110,A,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,A,C,B,B,B,A,A,A,B,H,D,D,D,E,C,A,P,F,C,A,A,E,E,H,F,B,BI,CS,C,AI,AE,A,K,DJ,0.503312,0.555782,0.527991,0.373816,0.836443,0.336105,0.350175,0.26847,0.41471,0.44467,0.327915,0.32157,0.318646,0.339168,1940.26
12183,A,B,A,A,A,A,A,A,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,B,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,E,A,P,H,I,A,A,D,E,J,H,B,AB,CO,A,AV,X,A,L,CU,0.287238,0.555782,0.440642,0.944513,0.863,0.221902,0.274654,0.64027,0.31763,0.2123,0.217678,0.214808,0.310026,0.315827,517.39
12494,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,A,B,C,B,B,B,A,A,A,A,A,C,D,C,E,A,A,D,K,A,A,A,K,J,F,E,D,BI,CL,A,E,AT,C,J,LV,0.415686,0.737068,0.527991,0.483397,0.560299,0.493885,0.903331,0.46477,0.43111,0.37493,0.934141,0.92765,0.233856,0.8069,1241.93
12813,B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,B,A,D,D,C,E,C,D,T,I,A,A,A,G,E,G,K,K,AB,EL,C,AP,AK,E,O,HL,0.344779,0.488789,0.246911,0.229617,0.281143,0.618041,0.426054,0.28768,0.39046,0.53881,0.422624,0.413475,0.666708,0.35562,618.66
13020,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,C,E,C,A,D,I,A,A,C,F,G,G,F,D,BI,EL,A,AG,H,A,J,GS,0.305371,0.199504,0.65431,0.284048,0.281143,0.398017,0.739131,0.54236,0.40252,0.31961,0.550529,0.538473,0.231475,0.782257,1146.59
13165,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,B,C,E,C,D,T,I,A,A,B,I,F,H,K,K,BI,CO,A,AT,AJ,A,P,LB,0.367378,0.15999,0.174588,0.345595,0.348388,0.571309,0.70025,0.34987,0.37458,0.48334,0.588753,0.576121,0.704052,0.765051,693.46
