Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,1,-0.284503408,1,0,-0.357190246,1
1,3,1,0.176963518,0,0,0.488829061,2
0,3,1,-0.361414563,0,0,-0.494113782,2
0,3,1,4.37189E-15,0,0,-0.489167454,2
0,3,1,4.37189E-15,0,0,-0.486064428,2
1,2,1,-2.220357164,0,2,-0.064479511,2
1,3,0,0.023141209,0,0,-0.397018449,2
0,3,1,-0.592148026,0,0,-0.466947213,2
1,3,1,-0.053769945,0,0,-0.45688552,2
1,3,0,4.37189E-15,0,0,-0.491346817,0
0,1,1,-0.1306811,0,0,0.299753759,2
1,2,0,-0.976703798,0,0,-0.436762135,2
1,3,0,0.253874672,3,0,-0.329102025,2
0,3,1,-1.053614952,1,3,0.043683684,2
0,3,1,4.37189E-15,0,0,-0.486064428,2
1,1,0,-0.515236871,3,2,4.6443926,2
0,3,1,-0.438325717,0,0,-0.486064428,2
0,3,1,-0.053769945,0,0,-0.486064428,2
0,3,1,-0.745970334,0,0,-0.490004587,2
0,1,1,1.253719679,1,0,0.582990404,2
0,3,1,-0.284503408,1,2,-0.23401903,2
0,3,1,2.253564685,0,0,-0.502163137,2
0,3,1,4.37189E-15,0,0,-0.486064428,2
0,1,1,3.176498538,0,0,0.049302133,1
1,1,1,-0.515236871,0,1,0.626925791,1
1,2,0,0.330785827,0,1,-0.185219821,2
0,2,1,0.330785827,1,0,-0.124849666,2
0,3,0,-0.1306811,0,0,-0.489167454,2
0,3,1,4.37189E-15,0,0,-0.489167454,2
0,1,1,-0.66905918,0,1,0.907228447,2
0,3,1,0.253874672,0,0,-0.473905879,2
0,3,1,0.56151929,2,0,-0.488579852,2
0,3,1,-0.1306811,0,0,-0.489167454,2
1,3,0,-0.66905918,0,0,-0.494113782,2
1,3,1,4.37189E-15,0,0,-0.491598359,2
0,3,1,0.638430444,0,0,-0.489167454,2
1,3,0,4.37189E-15,1,0,-0.162077929,0
0,1,1,1.330630833,0,0,0.398358346,2
0,3,0,-1.168981683,1,0,-0.357190246,1
0,3,1,-0.592148026,0,0,-0.486064428,2
0,3,0,-0.745970334,1,0,-0.45034542,2
0,3,0,-0.976703798,0,0,-0.35710774,1
0,3,1,-0.66905918,0,0,-0.488579852,2
0,3,1,3.138042961,0,0,-0.492101444,0
0,2,1,-0.053769945,1,0,-0.225466592,2
0,1,1,-0.438325717,0,1,4.332898697,1
0,3,0,-2.130371113,4,2,-0.01869881,2
0,2,1,-0.66905918,2,0,0.831011126,2
0,3,1,4.37189E-15,0,0,-0.486064428,2
0,2,1,0.215419095,1,0,-0.04293139,1
1,2,0,0.215419095,0,0,-0.386453672,2
0,1,1,1.869008914,0,1,0.907228447,2
1,3,1,-1.361259569,1,0,-0.42183662,1
0,3,1,4.37189E-15,0,0,-0.492101444,0
1,3,1,-0.438325717,0,0,-0.504342499,2
1,3,0,4.37189E-15,1,1,-0.198132998,1
0,3,1,1.176808524,0,0,-0.507697067,2
0,3,1,0.253874672,0,0,-0.489167454,1
0,3,1,-0.745970334,0,0,-0.506187814,2
0,3,0,1.330630833,1,0,-0.356268595,2
1,2,0,-0.053769945,1,0,-0.124849666,2
0,2,1,-0.361414563,0,0,-0.386453672,2
0,2,1,-0.515236871,0,0,-0.345285251,1
1,1,0,-0.822881489,0,2,-0.119148711,2
0,1,1,0.56151929,1,0,0.42049407,2
0,3,1,-1.053614952,0,0,-0.462586475,2
0,1,1,-0.438325717,0,0,0.945714421,1
0,3,0,4.37189E-15,0,2,-0.341260574,1
1,3,0,-0.592148026,0,0,-0.492101444,2
1,3,0,-0.438325717,1,0,-0.329102025,2
0,3,1,-0.822881489,0,0,-0.512224829,0
0,2,1,-0.899792643,0,0,-0.41663875,2
0,2,1,-0.822881489,1,1,0.091476724,2
1,3,1,-0.207592254,0,0,-0.491179793,2
0,3,0,-1.591993032,2,2,0.043683684,2
0,2,1,0.523063712,0,2,-0.124849666,2
0,2,1,0.946075061,0,0,-0.386453672,2
0,2,1,1.638275451,0,0,-0.39601228,2
1,1,0,-0.592148026,1,0,0.692159768,2
0,3,1,1.984375645,0,0,-0.486064428,2
0,3,1,0.83070833,0,2,-0.356268595,2
0,3,1,4.37189E-15,0,0,-0.500905425,2
0,1,1,1.638275451,0,1,0.5870996,1
1,3,0,-1.053614952,0,0,-0.492437505,0
0,3,1,0.023141209,0,0,-0.486064428,2
0,3,1,4.37189E-15,0,0,-0.473738855,2
0,3,1,4.37189E-15,8,2,0.751523754,2
0,3,1,1.09989737,0,1,-0.324071178,2
1,2,0,0.792252753,0,0,-0.331114363,2
0,3,1,-0.284503408,0,0,-0.491598359,2
0,3,1,-0.976703798,0,0,-0.473738855,2
0,3,1,-2.207282267,4,1,0.150589167,2
1,3,1,-1.591993032,0,2,-0.235025199,2
1,1,0,4.37189E-15,0,1,0.458728501,2
0,3,0,1.176808524,1,4,-0.086615234,2
0,1,1,4.37189E-15,0,0,-0.12635892,2
0,3,1,-0.1306811,0,0,0.488829061,2
0,1,1,2.407386994,0,0,0.026075722,2
0,3,1,-1.976548804,4,1,-0.061964088,0
1,3,0,-2.207282267,1,1,-0.424017995,2
0,3,1,-0.66905918,0,0,-0.488579852,2
0,1,1,2.022831222,0,0,-0.030354274,1
0,3,1,-0.899792643,1,1,-0.490004587,2
0,3,1,4.37189E-15,3,1,-0.135581467,2
0,1,0,1.561364296,0,0,-0.070264984,1
0,2,1,0.023141209,0,0,-0.386453672,2
0,3,1,0.484608135,0,0,-0.648057678,2
0,3,0,4.37189E-15,8,2,0.751523754,2
0,2,1,4.37189E-15,0,0,-0.345200733,1
0,3,1,-1.591993032,4,2,-0.016434929,2
1,2,1,-2.207282267,2,1,0.13675434,2
1,3,0,-1.976548804,0,2,-0.204840122,2
0,1,1,4.37189E-15,0,0,0.358111576,2
1,3,0,4.37189E-15,1,0,-0.33614521,0
1,1,1,1.176808524,0,0,-0.113781804,2
0,3,1,0.792252753,1,1,-0.33614521,0
0,3,1,0.484608135,0,0,-0.489167454,2
1,2,0,0.176963518,0,0,-0.386453672,2
0,2,1,-0.822881489,0,0,-0.386453672,2
1,3,0,-0.822881489,1,0,-0.490004587,2
1,2,1,-2.053459959,1,1,-0.124849666,2
1,1,0,1.09989737,0,0,-0.090221345,1
1,1,0,2.176653531,0,0,2.300436803,1
0,3,1,4.37189E-15,0,0,-0.492101444,0
0,3,1,0.946075061,0,1,-0.478936725,2
1,3,0,4.37189E-15,0,0,-0.492101444,0
0,2,0,-0.438325717,0,0,-0.386453672,2
0,3,1,-0.1306811,0,0,-0.45688552,2
0,3,1,4.37189E-15,8,2,0.751523754,2
0,3,1,0.330785827,0,0,-0.517340194,2
0,3,1,1.215264102,0,0,-0.502666221,1
1,3,1,-0.899792643,0,0,-0.486064428,2
0,3,0,-2.130371113,0,1,-0.437516762,2
0,3,1,0.176963518,1,0,-0.329102025,2
1,3,1,-0.284503408,0,0,-0.269989581,1
1,3,0,-1.053614952,0,0,-0.492101444,0
1,1,1,0.792252753,0,0,-0.024232741,1
0,3,1,-0.438325717,0,0,-0.506187814,2
1,2,0,0.407696981,0,0,-0.225466592,2
0,3,1,-0.592148026,0,0,-0.502163137,2
0,2,1,0.023141209,0,0,-0.386453672,2
0,3,1,4.37189E-15,1,0,-0.492101444,0
1,1,0,0.100052363,1,0,1.631418767,1
1,3,0,-0.207592254,0,0,-0.488579852,2
0,2,1,0.946075061,1,0,-0.104726281,2
1,1,0,0.176963518,0,0,0.88718958,1
0,2,1,0.023141209,0,0,-0.436762135,2
1,3,1,-1.053614952,0,0,-0.486064428,2
0,2,1,-0.207592254,0,0,-0.386453672,2
0,3,1,1.638275451,0,0,-0.486064428,2
0,3,1,4.37189E-15,0,0,-0.489167454,2
1,1,1,0.638430444,1,0,1.16304698,2
0,3,1,-0.592148026,0,0,-0.459904028,2
1,2,1,-0.822881489,0,0,-0.436762135,2
0,3,1,-0.707514757,0,0,-0.502163137,2
0,2,1,-0.899792643,0,0,-0.386453672,2
0,3,0,4.37189E-15,3,1,-0.135581467,2
1,1,0,0.407696981,1,0,1.031741892,2
0,3,1,-0.053769945,0,0,-0.491598359,2
0,2,1,2.253564685,0,0,-0.37639198,2
1,3,0,-1.89963765,4,2,-0.016434929,2
0,2,1,-0.438325717,0,0,-0.436762135,2
0,3,0,4.37189E-15,0,0,-0.496126121,2
0,2,1,1.09989737,1,0,-0.124849666,2
1,2,0,-1.668904187,0,2,-0.11981882,2
0,2,1,-0.822881489,0,0,-0.436762135,2
0,2,1,0.253874672,0,0,-0.401043126,2
0,3,0,4.37189E-15,1,0,-0.357190246,1
1,3,0,4.37189E-15,1,0,-0.33614521,0
0,2,1,-0.053769945,0,0,-0.436762135,2
0,3,1,-0.592148026,0,0,-0.50467856,2
0,3,1,0.023141209,0,0,-0.502666221,1
0,1,1,1.09989737,2,0,1.16304698,0
0,3,0,-0.361414563,0,0,-0.491598359,2
1,2,0,-0.438325717,0,2,-0.356268595,2
1,1,1,0.56151929,1,1,0.409510726,2
0,2,1,1.869008914,1,0,-0.124849666,2
0,3,1,4.37189E-15,0,0,-0.502163137,2
0,3,0,-0.053769945,1,1,-0.437516762,2
0,1,1,2.484298149,0,0,-0.113781804,2
0,3,1,0.023141209,1,0,-0.324071178,2
0,3,0,0.869163907,0,2,-0.241313757,2
1,3,0,-0.053769945,0,2,-0.341260574,1
1,1,0,4.37189E-15,0,0,0.945714421,1
1,1,0,0.023141209,0,0,1.092615132,2
1,1,0,0.407696981,0,0,9.661740105,1
1,2,0,1.561364296,0,1,-0.124849666,2
0,3,1,4.37189E-15,0,0,-0.492101444,0
1,3,1,-2.053459959,4,2,-0.016434929,2
0,1,1,1.715186605,1,1,0.954769944,2
0,1,1,0.792252753,0,0,-0.648057678,2
0,3,0,4.37189E-15,0,0,-0.492101444,0
0,2,1,0.484608135,0,0,-0.436762135,2
0,3,1,-1.053614952,4,1,0.150589167,2
1,3,1,-0.361414563,1,0,-0.491598359,2
1,1,0,2.176653531,0,1,2.440127306,2
1,1,0,0.407696981,0,0,2.081343448,2
0,1,1,4.37189E-15,0,0,-0.024232741,2
1,3,1,-0.361414563,0,0,-0.648057678,2
1,2,0,0.869163907,0,1,-0.255651669,2
0,1,1,0.56151929,0,1,-0.050393141,1
1,3,0,4.37189E-15,0,0,-0.492101444,0
1,1,0,2.561209303,1,0,0.920727213,2
0,3,0,1.176808524,0,0,-0.492101444,2
0,2,1,4.37189E-15,0,0,-0.648057678,2
0,3,1,-1.745815341,4,1,-0.061964088,0
1,3,0,0.407696981,1,1,-0.24055913,2
0,3,1,2.715031612,0,0,-0.492101444,0
0,3,1,-0.1306811,0,0,-0.490004587,2
0,3,1,-1.053614952,0,0,-0.45688552,2
1,3,1,-0.822881489,0,0,-0.486064428,2
0,1,1,4.37189E-15,0,0,-0.124849666,2
0,3,1,0.253874672,0,0,-0.473738855,1
1,3,1,0.023141209,0,0,-0.45688552,2
0,3,1,-0.592148026,0,0,-0.489167454,2
1,2,1,0.946075061,0,0,-0.386453672,2
1,3,0,-0.592148026,0,0,-0.492101444,0
1,1,0,-0.284503408,0,0,0.938671236,2
1,1,0,-0.822881489,1,0,1.184764137,1
0,2,1,0.484608135,0,0,-0.388969095,1
0,3,0,-0.438325717,0,0,-0.46996572,2
0,3,1,-0.438325717,0,0,-0.489167454,2
0,1,1,4.37189E-15,0,0,-0.090221345,1
0,3,1,-0.476781294,0,0,-0.502581703,1
0,1,0,-2.130371113,1,2,2.401641332,2
1,1,1,4.37189E-15,0,0,-0.034294433,2
1,1,0,1.561364296,0,1,4.332898697,1
1,3,0,4.37189E-15,0,0,-0.492101444,0
1,3,1,4.37189E-15,2,0,-0.180188975,0
0,3,1,-0.822881489,0,0,-0.648057678,2
1,2,0,4.37189E-15,0,0,-0.399533873,0
0,3,1,4.37189E-15,0,0,-0.486064428,2
1,1,1,-2.21343516,1,2,2.401641332,2
1,1,0,4.37189E-15,0,0,1.583289667,1
1,1,0,-0.976703798,1,0,1.543378958,1
0,2,1,0.023141209,1,0,-0.165096436,1
1,1,0,0.023141209,0,0,0.497550536,1
1,1,0,-0.438325717,0,0,1.025368816,1
1,1,0,-0.899792643,2,2,4.631815484,1
0,2,0,-0.284503408,1,1,-0.124849666,2
0,3,1,-0.1306811,0,0,-0.489167454,2
0,2,1,1.022986216,1,1,-0.11981882,2
1,3,0,-0.284503408,0,0,-0.490004587,2
1,2,0,-0.438325717,1,0,-0.124849666,2
0,2,1,1.869008914,0,0,-0.366330287,2
1,1,0,0.100052363,0,2,2.669618414,2
1,1,0,0.792252753,1,1,2.058537616,1
0,3,1,-0.592148026,0,0,-0.502163137,2
0,3,1,-0.207592254,0,0,-0.489167454,2
1,2,0,0.023141209,0,0,-0.399533873,0
1,2,0,-0.592148026,1,1,-0.064479511,2
0,3,1,4.37189E-15,8,2,0.751523754,2
1,1,0,0.484608135,0,0,2.081343448,1
0,3,1,2.407386994,0,0,-0.522538064,2
1,2,0,0.484608135,0,0,-0.386453672,2
1,3,0,0.100052363,1,1,-0.235025199,2
1,1,0,-1.053614952,0,1,0.51868009,1
1,3,0,4.37189E-15,2,0,-0.180188975,0
0,1,1,1.215264102,0,0,-0.074541203,2
0,1,1,0.638430444,0,1,2.440127306,2
0,3,1,-1.053614952,2,0,-0.285836747,2
1,1,0,4.37189E-15,1,0,2.041432739,2
0,3,1,4.37189E-15,0,0,-0.489167454,2
0,1,1,-0.053769945,1,0,0.692159768,2
1,1,0,0.869163907,0,0,2.058537616,1
1,3,1,1.176808524,0,0,-0.486064428,2
0,1,1,1.176808524,0,0,0.066322492,2
1,2,1,-2.130371113,1,1,-0.124849666,2
1,1,0,-0.438325717,3,2,4.6443926,2
0,2,1,-0.1306811,0,0,-0.386453672,2
0,2,1,-0.361414563,0,0,-0.386453672,2
0,2,1,0.484608135,0,0,-0.386453672,2
1,2,0,-0.438325717,0,0,-0.386453672,2
1,2,0,0.792252753,0,0,-0.386453672,2
1,3,0,4.37189E-15,1,0,-0.324071178,2
1,3,1,-2.053459959,1,1,-0.328095856,2
0,3,1,0.946075061,0,0,-0.473738855,2
0,3,1,-0.515236871,0,0,-0.462419451,2
0,1,1,4.37189E-15,0,0,0.0562608,2
0,3,1,-1.130526106,1,1,-0.502581703,1
0,3,1,-0.361414563,1,0,-0.289861424,2
0,3,1,4.37189E-15,0,0,-0.502666221,1
0,3,1,-0.1306811,0,0,-0.45688552,2
1,1,0,-0.592148026,0,1,0.458728501,2
0,2,0,0.638430444,0,0,-0.386453672,2
1,3,0,4.37189E-15,0,0,-0.489501503,0
1,3,0,4.37189E-15,0,0,-0.489501503,0
0,3,1,0.792252753,1,4,-0.086615234,2
0,2,1,-0.053769945,1,0,-0.090221345,1
0,3,0,1.176808524,0,1,-0.357190246,1
0,3,1,0.407696981,0,0,-0.506187814,2
0,3,1,4.37189E-15,1,0,-0.33614521,0
0,3,1,0.023141209,0,0,-0.502163137,2
1,1,0,2.33047584,1,0,0.866227049,1
1,3,0,4.37189E-15,0,0,-0.502581703,1
1,3,0,4.37189E-15,0,0,-0.492101444,0
1,1,0,-0.438325717,0,0,0.746492908,1
1,1,1,-0.361414563,1,0,0.467617001,1
0,3,1,-0.899792643,1,0,-0.517340194,2
0,3,1,-0.822881489,0,0,-0.486064428,2
0,1,1,-0.592148026,0,0,2.081343448,1
0,3,0,-2.053459959,3,1,-0.223957338,2
1,1,0,4.37189E-15,1,0,1.005496973,1
1,3,0,-0.592148026,0,0,-0.502163137,2
0,1,1,-0.207592254,0,2,3.608038268,1
0,3,1,-0.745970334,0,0,-0.567312596,1
0,3,1,-0.822881489,0,0,-0.491598359,2
1,1,0,0.946075061,0,0,3.930515514,1
1,3,0,-2.207282267,0,2,-0.331281387,1
0,3,1,0.176963518,0,0,-0.488579852,2
1,1,0,0.407696981,1,0,0.398358346,2
0,3,1,4.37189E-15,0,0,-0.489167454,2
0,2,1,-0.899792643,0,0,0.831011126,2
0,3,1,-2.207282267,5,2,0.295729082,2
1,2,0,0.484608135,0,0,-0.386453672,2
0,3,1,4.37189E-15,0,0,-0.49252001,0
1,2,0,-0.976703798,0,0,-0.406577057,1
1,1,1,0.484608135,1,2,1.766748532,2
1,3,1,-0.66905918,0,0,-0.491179793,2
0,3,1,-0.1306811,2,0,-0.488579852,2
1,1,0,-0.515236871,1,0,1.631418767,1
1,3,0,-0.438325717,0,2,-0.311997147,2
0,3,1,-0.592148026,0,0,-0.491179793,2
0,3,0,0.100052363,0,0,-0.490004587,2
0,2,1,1.253719679,0,0,-0.124849666,2
0,2,1,-0.515236871,0,0,-0.436762135,2
1,2,0,-0.1306811,0,0,-0.393496857,2
1,3,1,0.715341598,0,0,-0.488579852,2
0,3,1,-0.284503408,0,0,-0.486064428,2
0,3,0,-0.66905918,1,0,-0.45034542,2
0,3,1,-0.1306811,1,0,-0.329102025,2
0,3,0,-0.745970334,0,0,-0.473738855,2
0,2,1,0.330785827,1,0,-0.225466592,2
0,3,1,1.638275451,0,0,-0.492101444,2
1,2,1,-2.053459959,1,1,-0.270744208,2
0,3,1,-0.66905918,0,0,-0.491598359,2
0,3,0,4.37189E-15,3,1,-0.135581467,2
0,3,1,4.37189E-15,0,0,-0.489167454,2
0,3,1,4.37189E-15,0,0,-0.510045466,0
1,1,0,0.253874672,1,0,1.16304698,0
0,2,1,4.37189E-15,0,0,-0.648057678,2
1,3,1,1.09989737,0,0,-0.488579852,2
0,3,0,4.37189E-15,0,0,-0.486064428,2
1,2,0,0.330785827,1,1,0.005952337,2
1,2,0,-0.899792643,0,2,-0.386453672,2
0,2,1,0.023141209,0,0,-0.386453672,2
0,3,0,-1.515081878,0,2,-0.162077929,2
0,3,1,4.37189E-15,0,0,-0.489167454,1
0,3,1,-0.66905918,0,0,-0.492437505,0
0,3,1,-0.053769945,0,0,-0.489586021,2
0,3,0,-0.1306811,1,1,-0.358280933,2
0,3,1,-0.899792643,1,1,-0.241313757,2
0,3,1,4.37189E-15,0,0,-0.502163137,2
1,2,0,-0.1306811,1,0,-0.124849666,2
1,2,0,-0.822881489,0,0,-0.124849666,2
0,3,1,4.37189E-15,0,0,-0.492101444,0
1,3,1,0.176963518,0,0,-0.486064428,2
1,1,1,-0.1306811,0,0,-0.113781804,2
1,3,0,4.37189E-15,1,0,-0.324071178,2
1,2,0,0.946075061,1,0,-0.124849666,2
0,3,1,-0.976703798,0,0,-0.50467856,2
0,1,1,1.561364296,1,0,0.476839548,2
1,1,0,-1.207437261,1,2,1.766748532,2
0,3,0,-0.66905918,2,2,0.043683684,2
1,2,0,-0.438325717,2,3,-0.270744208,2
0,1,1,2.638120457,1,4,4.6443926,2
0,2,1,0.100052363,0,0,-0.436762135,2
1,2,0,1.176808524,1,1,-0.11981882,2
0,3,1,-0.745970334,0,0,-0.45688552,2
0,3,1,-0.361414563,1,0,-0.491598359,2
1,2,0,-0.1306811,0,0,-0.386453672,2
1,3,1,4.37189E-15,0,0,-0.484806717,2
1,1,1,-1.976548804,0,2,0.999208415,2
1,2,0,-1.284348415,0,1,-0.255651669,2
1,1,1,0.330785827,0,0,-0.113781804,2
1,3,0,-1.89963765,2,1,-0.260515491,1
1,1,1,1.715186605,0,0,-0.034294433,2
0,2,1,0.484608135,1,2,-0.089633742,2
0,3,1,4.37189E-15,1,0,-0.246260085,2
0,1,1,0.023141209,0,0,-0.089633742,1
1,1,1,1.484453142,1,0,1.145020451,1
0,3,1,4.37189E-15,0,0,-0.486064428,2
1,3,1,-0.053769945,0,0,-0.489167454,1
0,1,1,2.715031612,0,0,-0.113781804,2
1,1,0,4.37189E-15,1,0,0.395591381,2
1,2,0,1.561364296,0,0,-0.436762135,2
0,3,1,4.37189E-15,0,0,-0.492101444,0
1,1,1,1.407541988,0,0,-0.113781804,2
0,3,1,0.330785827,0,0,-0.486064428,2
0,1,1,1.330630833,0,0,0.126692647,2
0,2,1,1.407541988,0,0,-0.386453672,2
0,3,1,4.37189E-15,0,0,-0.486064428,2
0,3,1,0.638430444,0,0,-0.506187814,2
0,2,1,4.37189E-15,0,0,-0.648057678,2
0,1,1,2.022831222,0,0,-0.113781804,2
0,3,1,4.37189E-15,0,0,-0.492604529,0
1,3,0,-2.226510056,2,1,-0.260515491,1
0,3,1,4.37189E-15,0,0,-0.502163137,2
0,3,1,0.638430444,0,0,-0.473738855,2
1,2,0,0.253874672,1,2,-0.089633742,2
1,2,0,-0.515236871,0,0,-0.370521988,1
0,3,0,-0.592148026,0,0,-0.450093878,2
0,1,1,4.37189E-15,0,0,0.398358346,2
0,2,1,0.330785827,1,0,-0.225466592,2
0,3,1,-0.053769945,1,0,-0.506272332,2
0,3,1,-0.592148026,0,0,-0.496713724,2
1,3,0,-2.130371113,0,1,-0.400791584,2
0,3,1,-1.591993032,5,2,0.295729082,2
0,2,1,4.37189E-15,0,0,-0.648057678,2
0,3,1,1.561364296,0,0,-0.486064428,2
1,3,0,2.561209303,0,0,-0.455124724,2
1,1,1,-0.361414563,1,0,1.184764137,1
0,3,0,4.37189E-15,3,1,-0.135581467,2
1,1,0,0.407696981,1,0,1.16304698,2
0,1,1,2.176653531,0,0,-0.050393141,1
0,3,1,0.023141209,0,0,-0.486064428,2
1,3,1,-1.591993032,1,1,-0.328095856,2
0,3,1,4.37189E-15,1,0,-0.246260085,2
0,3,1,-0.66905918,0,0,-0.502163137,2
0,1,1,1.945920068,0,0,-0.034294433,2
0,1,1,3.176498538,0,0,0.348134402,1
0,3,1,-0.66905918,0,0,-0.486064428,2
0,3,1,4.37189E-15,0,0,-0.35710774,1
1,1,0,1.869008914,1,0,0.926933265,1
0,3,1,4.37189E-15,0,0,-0.344194564,2
0,1,0,-0.361414563,1,2,2.401641332,2
0,3,1,-0.438325717,0,0,-0.491179793,2
0,3,1,-0.976703798,0,0,-0.473738855,2
0,3,0,-0.66905918,0,0,-0.492101444,0
0,3,0,4.37189E-15,0,0,-0.494532349,0
0,3,0,0.56151929,0,0,-0.455124724,2
1,1,0,-1.053614952,0,0,1.092615132,2
0,1,1,-0.899792643,1,0,1.543378958,1
1,2,0,0.253874672,0,2,-0.124849666,2
1,1,1,4.37189E-15,0,0,-0.113781804,2
0,3,1,-0.1306811,0,0,-0.194778429,2
1,3,1,-0.284503408,0,0,0.488829061,2
1,3,1,-0.053769945,0,0,-0.492101444,0
0,3,1,4.37189E-15,0,0,-0.486064428,2
1,1,1,0.484608135,0,0,-0.119064193,2
1,1,0,1.869008914,1,0,0.547271396,1
0,3,1,-0.438325717,0,0,-0.497216808,2
0,1,1,1.330630833,0,0,0.036555981,2
1,2,0,0.330785827,0,0,-0.436762135,2
0,3,1,4.37189E-15,0,0,-0.162077929,0
1,2,0,0.484608135,1,0,-0.124849666,2
0,3,1,0.176963518,0,0,-0.489167454,2
1,1,0,0.023141209,0,0,1.233478827,2
0,3,1,-0.592148026,0,0,-0.489167454,2
0,3,1,4.37189E-15,0,0,-0.502666221,1
1,1,0,1.09989737,0,1,0.51868009,1
0,3,1,4.37189E-15,0,0,-0.502581703,1
0,3,1,0.83070833,0,0,-0.492101444,0
1,2,0,1.561364296,0,0,-0.436762135,2
0,1,1,4.37189E-15,0,0,3.814890568,2
0,3,1,0.715341598,0,0,-0.488579852,2
0,2,1,-0.515236871,2,1,-0.41663875,2
1,2,0,-2.130371113,1,1,-0.124849666,2
0,3,1,4.37189E-15,0,0,-0.502581703,1
0,3,1,-0.976703798,1,1,-0.502581703,1
1,3,0,4.37189E-15,0,2,-0.198132998,1
0,3,0,0.023141209,0,0,-0.473738855,2
1,2,0,-1.745815341,0,2,-0.11981882,2
0,1,1,1.176808524,0,0,-0.113781804,2
1,1,0,0.023141209,0,0,1.49357358,1
0,3,1,4.37189E-15,0,0,-0.356268595,2
1,1,0,-0.592148026,0,2,0.348049883,1
1,1,0,0.484608135,0,2,0.780702663,2
0,3,0,-1.591993032,4,2,-0.01869881,2
0,3,0,-1.438170724,4,2,-0.01869881,2
